Lechuga,Lechuga_inv,Manzana_red_delicius,Pera_pack,BANANA,LIMON,MANZANA,PERA,NARANJA,PALTA,POMELO,UVA,FRUTILLA,KIWI,ANANA,MANGO,MELON,MANDARINA,CIRUELA,NUEZ,LIMA,SANDIA,MAMON,PLATANO,ARANDANO,MANI,DURAZNO,COCO,PELON,MBURUCUYA,HIGO,ACELGA,ACUSAY,AJO,ALBAHACA,APIO,BATATA,BERENJENA,BROCOLI,CEB.VERDEO,CEBOLLA,CHAUCHA,CILANDRO,COLIFLOR,HONGOS,LECHUGA,PAPA,PEPINO,PEREJIL,PIMIENTO,PUERRO,RADICHETA,REMOLACHA,REPOLLO,RUCULA,TOMATE,ZANAHORIA,ZAPALLITO,ZAPALLO,CEREZA,RABANITO,ESPINACA,CURCUMA,JENGIBRE,SALVIA,MANDIOCA,CHOCLO
LECHUGA,LECHUGA,MANZANA,PERA,BANANA,LIMON,MANZANA,PERA,NARANJA,PALTA,POMELO,UVA,FRUTILLA,KIWI,ANANA,MANGO,MELON,MANDARINA,CIRUELA,NUEZ,LIMA,SANDIA,MAMON,PLATANO,ARANDANO,MANI,DURAZNO,COCO,PELON,MBURUCUYA,HIGO,ACELGA,ACUSAY,AJO,ALBAHACA,APIO,BATATA,BERENJENA,BROCOLI,CEB.VERDEO,CEBOLLA,CHAUCHA,CILANDRO,COLIFLOR,HONGOS,LECHUGA,PAPA,PEPINO,PEREJIL,PIMIENTO,PUERRO,RADICHETA,REMOLACHA,REPOLLO,RUCULA,TOMATE,ZANAHORIA,ZAPALLITO,ZAPALLO,CEREZA,RABANITO,ESPINACA,CURCUMA,JENGIBRE,SALVIA,MANDIOCA,CHOCLO
MANTECOSA,MANTECOSA,RED DELICI,RED DELICI,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.,Prom.Esp.
BS. AS.,BS. AS.,R. NEGRO,R. NEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,INV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
